도서관명,주소,전화번호
SH 숨터작은도서관,"서울특별시 강동구 아리수로93가길 77(강일동, 강동리버스트6단지)",
가람슬기작은도서관,"서울특별시 강동구 강동대로53길 76, (성내동) 성내3동주민센터 1층",02-474-4030
강동구립강일도서관,서울특별시 강동구 아리수로 93길 9-14,02-427-7676
강동구립도서관,서울특별시 강동구 동남로 870(상일동) 강동문화재단,02-2045-7915
강동구립둔촌도서관,서울특별시 강동구 동남로49길 21-8,02-489-6557
강동구립성내도서관,서울특별시 강동구 성안로 106-1,02-471-1071
강동구립암사도서관,서울특별시 고덕로 20길 42 (암사동 471-37),02-429-0476
강동구립천호도서관,서울특별시 강동구 성안로 31마길 1(천호3동 제2공영주차장 지상 2층),02-488-7223
강동구립해공도서관,서울특별시 강동구 올림픽로 702,02-478-9656
강동성심병원의학도서실,서울특별시 강동구 성안로 150 강동성심병원 제2별관 교육연구관 5층,02-2224-2172
강동육아누리도서관,서울특별시 강동구 상암로 168 강동구민회관 2층 2층,02-487-3516
강빛 은하수 작은도서관,"서울특별시 강동구 아리수로 93나길 88, 808동",
강일1단지작은도서관,서울특별시 강동구 아리수로 93가길25 관리동 2층,02-427-0051
강일리버파크6단지책향기작은도서관,서울특별시 강동구 아리수로94길 19 강일리버파크6단지아파트 관리사무소 2층 ,02-426-6649
게냇골작은도서관,서울특별시 강동구 구천면로 633(상일동) 상일동 주민센터 2층 ,02-428-7041
고덕리엔파크3단지SH작은도서관,서울특별시 강동구 상일로 74 고덕리엔파크3단지아파트 315동 1층 ,070-4234-0490
글고운작은도서관,"서울특별시 강동구 성내로 13, 2층(성내동) 성내1동 주민센터 1층",02-475-5156
글마루작은도서관,"서울특별시 강동구 아리수로78길 43-12, 2층(고덕동) 고덕2동주민센터 2층",070-8153-0560
글익는작은도서관,"서울특별시 강동구 고덕로 137, 3층(암사동) 암사3동주민센터 3층",02-428-1643
글향기작은도서관,"서울특별시 강동구 구천면로42길 59, 2층(천호동) 천호1동주민센터 2층",02-470-3613
꿈누리작은도서관,서울특별시 강동구 동남로 83길 87(고덕동) 1층,02-426-9469
늘솔길작은도서관,"서울특별시 강동구 양재대로156길 123, 5층(고덕동) 고덕1동주민센터 5층",02-429-0423
다온북카페작은도서관,"강동구 양재대로 124길 25, 301호(길동)",
더숲작은도서관,서울특별시 강동구 풍성로35길 19,
도담도담북카페,"서울특별시 강동구 양재대로138길 37, 1층(명일동) 명일1동주민센터 1층",02-427-2152
도로롱 작은도서관,서울특별시 강동구 고덕로98길 160 강동리엔파크 14단지 1401동 1층,
또바기작은도서관,서울특별시 강동구 아리수로98길 25(강일동) 2층,02-3427-0007
래미안힐스테이트고덕작은도서관,서울특별시 강동구 아리수로 50길 50 304동 1층,070-4640-4583
롯데캐슬도서관,서울특별시 강동구 고덕로 131 강동롯데캐슬퍼스트아파트 관리동 지하1층 ,070-8702-1899
루르드의작은도서관,서울특별시 강동구 고덕로 476 1층,02-442-1244
명성교회도서관,서울특별시 강동구 상암로51길 8,02-440-9140
반딧불 북카페작은도서관,"서울특별시 강동구 천호대로 1183 2층(길동, 길동복합청사)",02-474-5157
반석도서관,서울특별시 강동구 천중로49길 32-10 1층,
부엉이작은도서관,"서울특별시 강동구 진황도로23길 7, 2층(천호동) 천호3동주민센터 1층",02-470-3027
북카페도서관 길동점,서울특별시 강동구 양재대로1548 3층,070-4289-1330
북카페도서관 다독다독 1호점,"서울특별시 강동구 양재대로 1419, 2층(성내동) 2층",070-7767-0120
북카페도서관 다독다독 강일점,서울특별시 강동구 아리수로93가길 110(강일동),070-7709-7089
북카페도서관 다독다독 고덕점,서울특별시 강동구 동남로82길 127,070-4923-5288
북카페도서관 다독다독 고분다리시장점,서울특별시 강동구 구천면로34길 16(천호동) 1층,070-7767-0170
북카페도서관 다독다독 암사시장점,서울특별시 강동구 올림픽로98길 15 7층,070-7767-0200
상상마루작은도서관,서울특별시 강동구 상일로 152 고덕리엔1단지 107동 1층 ,02-481-4589
서울특별시교육청강동도서관,서울특별시 강동구 양재대로116길 57,02-2225-9800~3
서울특별시교육청고덕평생학습관,서울특별시 강동구 고덕로 295 (고덕2동 296),02-6902-2600
서원마을작은도서관,"서울특별시 강동구 올림픽로 936, 2층(암사동) 마을회관 2층",070-8825-1410
성가정 작은도서관,서울특별시 강동구 고덕로83길 68,02-429-3420
성내PLUS작은도서관,서울특별시 강동구 성내로3길18 지하1층,070-8812-0124
솔향기북카페,"서울특별시 강동구 고덕로97길 20, 관리사무소 2층(강일동) 관리동 2층",02-427-6695
아람작은도서관,"서울특별시 강동구 양재대로84길 31,  2층 (둔촌동)","02-475-9948, 070-8151-971"
아빠하우스작은도서관,서울특별시 강동구 아리수로93나길 60 골드프라자 505호,02-486-7785
안말작은도서관,"서울특별시 강동구 풍성로37가길 62, (성내동) 성내2동주민센터 2층",02-488-2392
엘림작은도서관,서울특별시 강동구 천호대로 1095(천호동) 511호,
열매작은도서관,"서울특별시 강동구 아리수로93가길 70(강일동, 강동리버스트7단지)",
옹기종기작은도서관,"서울특별시 강동구 양재대로1512, 2층",070-8118-3474
우리역사문화도서관,"서울특별시 강동구 진황도로 145(둔촌동, KNP주상복합)",
작은도서관 웃는책,"서울특별시 강동구 구천면로42길 60(천호동) 1,2층",02-478-8600
좋은땅꿈나책작은도서관,"서울특별시 강동구 풍성로37가길 58, 지하1층",070-4422-6911
주영광작은도서관,"서울특별시 강동구 양재대로115길 28, (길동) 3층",02-489-5259
채우리작은도서관,"서울특별시 강동구 고덕로24길 49, 1층(암사동) 암사1동자치회관 1층",02-481-6152
책꾸러미작은도서관,"서울특별시 강동구 상암로 260, 2층(명일동) 명일2동주민센터 2층",02-442-3982
초대구름도서관,서울특별시 강동구 상암로 27나길 13 2층,02-477-1004
파랑새작은도서관,"서울특별시 강동구 천호대로186길 7, 1층(둔촌동, 둔촌2동주민센터) 둔촌2동주민센터 1층",02-489-2666
한국시각장애인복지재단점자도서관[이동도서관],서울특별시 강동구 구천면로 645 한국시각장애인복지관,02-440-5201
한국점자도서관,서울특별시 강동구 상암로4가길 32 암사2동새마을문고,02-3426-7411~4
함께크는우리,서울특별시 강동구 고덕로61길 104(고덕동) 2층,02-428-4686
해오름작은도서관,"서울특별시 강동구 상암로3길 28, 2층(암사동) 암사2동주민센터 2층",02-3426-3070
햇살작은도서관,"서울특별시 강동구 천중로17길 42-16, 2층(천호동, 천호2동자치회관) 2층",02-471-4192
행복책방sh작은도서관,서울특별시 강동구 고덕로97길 100(강일동) 1104동 1층,02-442-9660
허브작은도서관,서울특별시 강동구 천호대로200길 15-12(둔촌동) 1층,02-417-0405
희망샘작은도서관,서울특별시 강동구 풍성로35길 53(성내동)  602호,02-484-1149
CMS영어작은도서관,서울특별시 강북구 삼양로74길 70 2층,
강북문화정보도서관,서울특별시 강북구 오현로 145,02-944-3100
강북청소년문화정보도서관,서울특별시 강북구 삼양로54길 68,02-944-3140
겨자씨작은도서관,서울특별시 강북구 삼양로 27길 35 삼양제일교회 ,02-988-0531
국립재활원재활연구소도서실,서울특별시 강북구 삼각산로 58 국립재활원 재활연구소 3층,02-901-1647
꼴찌만화방작은도서관 ,서울특별시 강북구 덕릉로 19-1 2층,
꿈꾸는문고,서울특별시 강북구 삼각산로 140 4층 ,070-4249-7091
꿈이익어가는작은도서관,서울특별시 강북구 삼양로 106-1 1층,
꿈익는책마을어린이도서관,서울특별시 강북구 삼양로47길 9 삼양동 종합복지센터 2층,02-945-1305
다솔작은도서관,서울특별시 강북구 인수봉로 12 2층,02-988-5027
닻별작은도서관,서울특별시 강북구 오현로32길 30-16 103호,02-6494-1098
동은작은도서관,서울특별시 강북구 4.19로13길 4 4층,
미아동새마을문고,서울특별시 강북구 솔매로 49길 14 미아동주민자치센터 2층,02-3778-4069
미아문화정보도서관,서울특별시 강북구 솔매로49길 14,02-944-3180
밝은작은도서관,서울특별시 강북구 삼양로 19길 74 엄마손마트 지하,02-980-7798
번1동새마을문고,서울특별시 강북구 덕릉로 41길 74 번1동주민센터 3층,02-3778-4267
번2동새마을문고,서울특별시 강북구 한천로 897 번2동주민센터 2층,02-3778-4319
번3동새마을문고,서울특별시 강북구 한천로 105길 21 번3동주민센터 2층,02-3778-4367
번동꿈나무작은도서관,서울특별시 강북구 오현로31길 21 201호(번동),
별빛초롱문고,서울특별시 강북구 삼각산로 157 2층 ,02-994-1318
북한산둘레길북카페,서울특별시강북구 4.19로 28길 10 북한산둘레길 북카페,02-940-3754
빨래골 작은도서관,서울특별시 강북구 삼양로77가길 36 302호,02-988-5027
삼각산동새마을문고,서울특별시 강북구 솔샘로 174(미아동) SK 아파트 제 1관리사무소 1층,070-8825-0858
삼각산어린이도서관,서울특별시 강북구 삼양로19길 34,02-944-3190
삼양동새마을문고,서울특별시 강북구 삼양로 268 삼양동주민센터 2층,02-3778-4042
성바오로딸수도회도서관,서울특별시 강북구 오현로7길 34 성바오로딸수도회,02-944-0800
솔샘문화정보도서관,서울특별시 강북구 솔샘로 177,02-944-3150
송중동새마을문고,서울특별시 강북구 오패산로 162 송중동 주민센터 3층,02-3778-4119
송중문화정보도서관,서울특별시 강북구 도봉로20나길 6,02-944-3160
송천동새마을문고,서울특별시 강북구 솔샘로 284 송천동주민센터 2층,02-3778-4168
송천북카페,서울특별시 강북구 숭인로 39 (송천센트레빌) 461,02-989-6517
수유1동새마을문고,서울특별시 강북구 삼양로 299 수유1동 주민센터 2층,02-3778-4466
수유2동새마을문고,서울특별시 강북구 한천로 1117 수유2동주민센터 2층,02-3778-4719
수유3동새마을문고,서울특별시 강북구 노해로 36 수유3동주민센터 2층,02-3778-4768
수유마을작은도서관,서울특별시 강북구 도봉로 71길 26 2층,02-988-0304
수유문화정보도서관,서울특별시 강북구 삼양로 299,02-944-3170
씽크엘작은도서관,서울특별시 강북구 삼양로 54길 92 1층,02-981-4620
옹달샘 작은도서관,서울특별시 강북구 도봉로13길 78 지하1층,
우리동네작은도서관,서울특별시 강북구 덕릉로40다길 13 번동제일교회 선교 교육관 2층 526-59,070-4200-0140
우이동새마을문고,서울특별시 강북구 삼양로 139길 49 우이동주민센터 2층,02-3778-4918
인수동새마을문고,서울특별시 강북구 인수봉로 255 인수동주민센터 2층,02-3778-4965
작은도서관두루,서울특별시 강북구 삼양로 73길 23 2층,02-901-0239
작은도서관책이랑놀자,서울특별시 강북구 삼양로 79길 19-3 수유동,02-903-6604
작은도서관함께놀자,"서울특별시 강북구 인수봉로72길 4(수유동, 극동아파트) 상가 13동 3층 2호 ",02-999-2207
지혜어린이도서관,서울특별시 강북구 도봉로65길 35 3층,02-987-5100
트리베라1차 작은도서관,서울특별시 강북구 삼양로19길 25 삼성래미안트리베라1차 아파트 관리사무소,02-946-1858
푸른별환경도서관,서울특별시 강북구 삼양로51길 22 양지마을사랑채 1층(미아동),02-766-0626
하늘을 나는 작은도서관,서울특별시 강북구 한천로124나길 27 지층 101동,
한국산악도서관,서울특별시 강북구 삼양로 660 지층,02-992-1945
한누리 작은도서관,서울특별시 강북구 인수봉로 243 지층,02-981-2519
행복숲작은도서관,서울특별시 강북구 도봉로76길 56 2층 202호,
5세대sf작은도서관,서울특별시 강서구 공항대로 103 마곡엠밸리9단지상가 403호,
e편한세상염창작은도서관,서울특별시 강서구 공항대로 583 관리동,02-2668-9916
가람작은도서관,서울특별시 강서구 양천로57길 36 가양5종합사회복지관 ,02-2668-4603
가양9-1단지작은도서관,"서울특별시 강서구 허준로224, 관리동 2층 ",02-2668-9155
가양도서관,서울특별시 강서구 양천로61길101(가양동 1493),02-3665-8797
강서영어도서관,서울특별시 강서구 곰달래로57가길 26,02-2061-2270
강서점자도서관,서울특별시 강서구 공항대로 206   801~803호,"02-2661-2278,2291"
곰달래도서관,"서울특별시 강서구 강서로5길 50 (곰달래문화복지센터 5, 6층)",02-2065-3785
공룡어린이도서관,서울특별시 강서구 까치산로 144 꿈이있는어린이도서관 강남교회,02-2601-5233
국립국어원자료실,"서울특별시 강서구 금낭화로 154, 3층",02-2669-9758
글고운SH작은도서관,"서울특별시 강서구 공항대로 124, 1102동 1층 ",070-8917-4505
글마루SH작은도서관,서울특별시 강서구 마곡서1로 146 ,02-2064-0341
글벗누리작은도서관,서울특별시 강서구 방화대로 330 방화1동주민센터 2층 2,02-2600-7962
길꽃어린이도서관,서울특별시 강서구 금낭화로24길 5,02-2663-4764
꿀단지작은도서관,서울특별시 강서구 마곡서1로 132(마곡엠밸리 3단지) 관리동 2층,
꿈꾸는어린이도서관,서울특별시 강서구 공항대로 615,02-3663-4025
꿈나래작은도서관,"서울특별시 강서구 양천로47가길 25-10, 양천교회",02-2658-1472
꿈빛작은도서관,"서울특별시 강서구 공항대로 140, 1203동 1층 ",070-8804-6677
꿈자람책놀이터작은도서관,서울특별시 강서구 개화동로 21길 4 방화11단지아파트 종합사회복지관,070-5153-8240
꿈터작은도서관,서울특별시 강서구 곰달래로 79 화곡1동주민센터 3층,02-2600-7515
나무그늘작은도서관,서울특별시 강서구 마곡서1로 100 2층,02-2663-7235
나인북스SH작은도서관,서울특별시 강서구 공항대로 103 마곡엠밸리9단지 905동 1층,02-2666-2806
나팔부는작은도서관,서울특별시 강서구 마곡중앙로 33 관리동 2층,02-2664-3320
내발산작은도서관,서울특별시 강서구 강서로52길 89 내발산동문화센터 5층,02-2600-7756
다빈작은도서관,"서울특별시 강서구 마곡서로 168, 럭스나인오피스텔L동 205호",02-6014-0691
다솜SH작은도서관,서울특별시 강서구 마곡서1로 131 2층 ,
도란도란쉼터작은도서관,서울특별시 강서구 허준로 30 가양1동주민센터 2층,02-2600-7778
도리샘작은도서관,서울특별시 강서구 허준로 202 가양3동주민센터 2층,02-2600-7856
두란노도서관,서울특별시 강서구 화곡로63길 65 12층,02-2657-9746
등마루골작은도서관,서울특별시 강서구 등촌로 143 등촌2동주민센터 2층,02-2600-7381
등불작은도서관,서울특별시 강서구 강서로 29길 20 다솜B 등불작은도서관,02-2691-1004
등빛도서관,서울특별시 강서구 강서로62길 48,02-3664-6990
등촌아이파크도서관,서울특별시 강서구 등촌로 163 등촌아이파크아파트 ,02-2654-5542
람원문고,서울특별시 강서구 까치산로 164,02-2605-2599
로뎀북카페작은도서관,서울특별시 강서구 양천로24길 31(방화동),
마곡엠밸리5단지SH작은도서관,서울특별시 강서구 마곡서1로 111-11 마곡엠밸리5단지SH작은도서관,070-4277-9766
많은샘작은도서관,서울특별시 강서구 양천로 75길 13 2층,070-4642-5527
발음작은도서관,서울특별시 강서구 강서로47나길 35 발음교회 ,02-2662-1372
방그리나작은도서관,서울특별시 강서구 금낭화로24길 5 방화3동주민센터 2층,02-2600-5267
배다리작은도서관,서울특별시 강서구 곰달래로25길 45 화곡8동주민센터 2층,02-2600-7701
볏고을작은도서관,서울특별시 강서구 곰달래로 57가길 26 화곡4동주민센터 2층,02-2061-2275
봉제산책쉼터,서울특별시 강서구 초록마을로 69-9,02-2600-4294
새싹작은도서관,"서울특별시 강서구 수명로2길 105, 514동 1층 ",02-2667-5118
생각열매작은도서관,서울특별시 강서구 공항대로53가길55 등촌1동주민센터 2층 ,02-2600-7356
서울특별시교육청강서도서관,서울특별시 강서구 등촌로51나길 29,02-3219-7000
솔뫼작은도서관,"서울특별시 강서구 가로공원로77길 30, 솔뫼공원경로당 2층",02-2690-2468
송정작은도서관,서울특별시 강서구 송정길 45 공항동주민센터 2층,02-2600-7932
수명산작은도서관,서울특별시 강서구 수명로 1길 131 내발산동공공기숙사 지하 1층 ,02-2666-0037
승리행복작은도서관," 서울특별시 강서구 곰달래로 220, (화곡동) 301호",02-2602-0506
아리향기작은도서관,서울특별시 강서구 양천로67가길 63 염창동주민센터2층,02-2600-7326
아이편한작은도서관,서울특별시 강서구 강서로 266 우장산아이파크이편한세상,02-2602-9443
어울림작은도서관,"서울특별시 강서구 마곡중앙1로 72(마곡동, 마곡10단지) ",02-2666-9606
역마을작은도서관,서울특별시 강서구 화곡로 312 화곡6동주민센터 2층,02-2600-7660
염창작은도서관,"서울특별시 강서구 공항대로75길 30, 상가동 301호 ",02-6449-2025
예뜰작은도서관,서울특별시 강서구 강서로17길 133 진성빌딩 예뜰문고,02-2698-5006
예인작은도서관,서울특별시 강서구 방화대로 34길 120 201호 신안빌라상가,02-2605-0682
옹기종기작은도서관,서울특별시 강서구 공항대로 61길 50 염창지역정보센터 내 2층,02-2600-7324
옹달샘작은도서관,서울특별시 강서구 곰달래로37길 13 화곡2동주민센터 2층,02-2600-7545
우리작은도서관,서울특별시 강서구 방화대로6라길 26 2층,02-2662-3927
우장산숲속도서관,서울특별시 강서구 우현로 34,02-2696-6690
작은뜰작은도서관,서울특별시 강서구 마곡서로 175 작은뜰작은도서관,070-8866-7785
좋은친구어린이도서관,서울특별시 강서구 방화대로6나길 28 한사랑교회 2층,02-2662-8326
채움작은도서관,서울특별시 강서구 개화동로23길20 방화2동주민센터 2층,02-2600-5225
책마당SH작은도서관,서울특별시 강서구 허준로 176(가양8단지),02-2668-9000
책마루작은도서관,서울특별시 강서구 강서로33가길 17 화곡3동주민센터 2층,02-2600-7577
책향기작은도서관,서울특별시 강서구 강서로47길 54 발산1동주민센터 2층,02-2600-7979
천사작은도서관,서울특별시 강서구 마곡서로 133 705동 3층,070-5138-5860
초록동작은도서관,"서울특별시 강서구 초록마을로 14길 36, 2층 초록동 경로당 2층",02-2065-7670
초록향기작은도서관,서울특별시 강서구 초록마을로5길 29 화곡본동주민센터 2층,02-2600-7474
큰마음작은도서관,서울특별시 강서구 화곡로63길 96 등촌3동주민센터 2층,02-2600-7448
푸른들청소년도서관,서울특별시 강서구 강서로45다길 71,02-2691-1630
하늘꿈작은도서관,서울특별시 강서구 강서로45나길 19-30 내발산동근린생활시설 하늘꿈작은도서관,02-2664-3126
하늘뜰작은도서관,"서울특별시 강서구 마곡중앙1로 71(마곡동, 마곡힐스테이트) 1311동",02-3664-7070
한국관세무역개발원자료실,"서울특별시 강서구 마곡중앙5로 22, 7층",02-3416-5111
한국문화관광연구원정책자료실,서울특별시 강서구 금낭화로 154,02-2669-9818
해뜰작은도서관,"서울특별시 강서구 방화대로 48길 40, 방화2 종합사회복지관 방화2종합사회복지관 3층",02-2662-6669
허준마을작은도서관,서울특별시 강서구 허준로 93 가양2동주민센터 2층,02-2600-7813
화곡푸르지오도서관,서울특별시 강서구 화곡로13길 107 화곡푸르지오 도서관,02-2691-6104
환원어린이작은도서관,서울특별시 강서구 금낭화로26가길 120 지온보육원 강서지역아동복지센터 ,02-2662-3485
희망문고,서울특별시 강서구 화곡로 18길 30-11 원흥타운 207호 ,02-2690-0511
고맙습니다하난곡작은도서관,"서울특별시 관악구 난우10가길 20-7 하난곡어린이집 2,3층",02-868-8994
관악중앙도서관,서울특별시 관악구 신림로 3길 35,02-828-5700
관악파크푸르지오 작은도서관,서울특별시 관악구 행운10길 21,
국제백신연구소자료실,서울특별시 관악구 관악로 1 서울대학교 연구공원 내,02-872-2801(내선108)
그림숲 그림책작은도서관,서울특별시 관악구 청룡9길 12-39 청룡동자치회관 1층,02-876-4041
글빛정보도서관,서울특별시 관악구 관악로 30길 23,02-878-7460
꿈꾸는작은도서관,서울시 관악구 광신길 115 2층,
꿈마을도서관,서울특별시 관악구 중앙2길 16 2층,02-886-3196
나들목 작은도서관(좋은만남교회),서울특별시 관악구 남부순환로172길 63 좋은만남교회,
낙성대공원도서관,서울특별시 관악구 낙성대로 77 낙성대공원 내,02-872-5575
낙성대동우듬지작은도서관,서울특별시 관악구 낙성대로4가길 5 낙성대동주민센터 4층 ,02-876-4072
난곡동책사랑작은도서관,서울특별시 관악구 난곡로30길 40 난곡동주민센터3층 ,02-861-7130
난곡주민도서관새숲,서울특별시 관악구 난향5길 2 난향꿈둥지 2~3층,02-839-1121
난향동뜰안에작은도서관,서울특별시 관악구 난곡로 67 난향동주민센터 4층,02-867-1735
남현동우리작은도서관,서울특별시 관악구 남현1가길 29 남현동복합청사 3층,02-525-1334
대학동녹두작은도서관,서울특별시 관악구 신림로 111 대학동주민센터 2층 ,02-872-4765
램영어도서관,서울특별시 관악구 난곡로 71,02-855-9191
문성작은도서관,서울특별시 관악구 신림로 58길 13 문성교회,02-886-5879
미성동책의향기작은도서관,서울특별시 관악구 난곡로 249 미성동주민센터 3층 ,02-830-5312
발효 작은도서관,서울특별시 관악구 남부순환로 1794 4층 401호,
별별창작꿈터 봉현작은도서관,서울특별시 관악구 관악로 255-7 성현동자치회관 1층,070-7163-5167
보라매동다사랑작은도서관,서울특별시 관악구 봉천로 279-8 보라매동주민센터 2층 2,02-876-2879
블루밍문고,서울특별시 관악구 은천로 93 벽산블루밍아파트관리사무소,02-877-9864
사랑기쁨도서관,서울특별시 관악구 난향길 10 3층,02-877-9864
삼성동샛별작은도서관,서울특별시 관악구 호암로 589 삼성동주민센터 3층 ,02-876-2063
삼성작은도서관,서울특별시 관악구 호암로 520 삼성동자치회관 1층 ,070-7163-5166
서림동글사랑작은도서관,서울특별시 관악구 신림로29길 6 주민센터 2층 ,02-884-3951
서울대학교박물관도서자료실,서울특별시 관악구 관악로 1 서울대학교 박물관 내,02-880-8096
서원동어울작은도서관,서울특별시 관악구 신림로 282 서원동주민센터 2층 ,02-872-5322
성현동작은도서관,서울특별시 관악구 관악로37길 56 동아아파트 상가B동 5층,02-877-7182-3
성현동파랑새작은도서관,서울특별시 관악구 구암길 38 성현동주민센터 2층 ,02-875-9054
숲속작은도서관,서울특별시 관악구 관악산나들길 114(신림동) 관악산 제1광장 산50-2,070-4118-6154
"쉼, 작은도서관",서울특별시 관악구 남부순환로145길 11,
신림동굴렁쇠작은도서관,서울특별시 관악구 신림동길 14 신림동주민센터 2층 ,02-877-2727
신림푸르지오도서관,서울특별시 관악구 남부순환로 1430 신림푸르지오아파트 1730,02-830-1554
신사동해오름작은도서관,서울특별시 관악구 조원로 151-1 신사경로당 3층 ,02-853-7336
신원동울타리작은도서관,서울특별시 관악구 신원로3길 13 신원동주민센터2층,02-839-1547
실로암점자도서관,서울특별시 관악구 남부순환로 1717,02-880-0500
안디아모작은도서관,서울시 관악구 관악로 12길97 2층,
