시설명,주소,운영기관전화번호
서울대학교병원 의학박물관,서울특별시 종로구 대학로 101,02-2072-2636
서울올림픽기념관,서울특별시 송파구 올림픽로 424,02-410-1354
세계골프역사박물관,서울특별시 테헤란로 528(대치동 945-5),02-2192-3005
세계장신구박물관,서울특별시 종로구 북촌로 5나길 2,02-730-1610
쇳대박물관,서울특별시 종로구 이화장길 100 ,02-766-6494
쉼박물관,서울특별시 종로구 세검정로 209-17,02-396-9277
신문박물관 PRESSEUM,서울특별시 종로구 세종대로 152,02-2020-1830
아쿠아플라넷63,서울특별시 영등포구 63로 50,02-780-6382
안중근의사기념관,서울특별시 중구 소월로 91,02-3789-1026
영인문학관,서울특별시 종로구 평창30길 81,02-379-3182
우리옛돌박물관,서울특별시 성북구 대사관로 13길 66,02-986-1001
우리은행 은행사박물관,서울특별시 중구 소공로 51 우리은행 본점 지하 1층,02-2002-5090
우석뮤지엄,서울특별시 서대문구 신촌로129 아트레온 5층,02-364-8900
유금와당박물관,서울특별시 종로구 창의문로 11가길 4,02-394-3451
이한열기념관,서울특별시 마포구 신촌로 12나길 26,02-325-7216
이화박물관,서울특별시 중구 정동길 26,02-2175-1964
인도박물관,"서울특별시 서초구 서초중앙로2길 35, 2층",02-585-2185
전기박물관,서울특별시 서초구 효령로 72길 60,02-2105-8190
전쟁과여성인권박물관,서울특별시 마포구 월드컵북로11길 20호,02-392-5252
전쟁기념관,서울특별시 용산구 이태원로 29번지(용산동 1가),02-709-3139
종이나라박물관,서울특별시 중구 장충단로 166 종이나라빌딩 2층 ,02-2279-7901
짚풀생활사박물관,서울특별시 종로구 성균관로 4길 45,02-743-8787
초전섬유퀼트박물관,서울특별시 중구 퇴계로 18길 66,02-753-4075~4
춘원당한방박물관,서울특별시 종로구 돈화문로 9길 27,02-3672-2005
코리아나화장박물관,서울특별시 언주로 827 코리아나아트센타,02-547-9177
탄허기념박물관,서울특별시 밤고개로14길 13-51,02-445-8486
평강성서유물박물관,서울특별시 구로구 오류로8리길 44,02-2686-9496
피규어뮤지엄W,서울특별시 청담동 84-9,070-7404-2240 
한국가구박물관,서울특별시 성북구 대사관로 121(성북동),02.745.0181
한국광고박물관,서울특별시 송파구 올림픽로35길 137,"02-2144-0116,0136"
한국금융사박물관,서울특별시 중구 세종대로 135-5,02-738-6806
한국색동박물관,"서울특별시 종로구 율곡로10길, 85-7",02-765-9286
한국은행 화폐박물관,서울특별시 중구 남대문로 39,02-759-4881
한국잡지박물관,"서울특별시 영등포구 여의대방로 67길 11, 잡지화관 B1층",02-360-0041
한국천주교순교자박물관,서울특별시 마포구 토정로 6 (합정동),02-3142-4504~5
한국현대문학관,서울특별시 중구 동호로 268,02-2277-4857
한국현대의상박물관,"서울특별시 종로구 율곡로 241-2 수진빌딩 9,10층",02-734-7340
한무숙 문학관,서울특별시 종로구 혜화로 9길 20,02-762-3093
한익환서울특별시아트박물관,서울특별시 용산구 한남대로 108,02-796-0100
혜곡최순우기념관,서울특별시 성북구 성북로 15길 9,02-3675-3401
호림박물관(신림본관),서울특별시 남부순환로 152길 53,02-858-3874
호림박물관(신사분관),서울특별시 도산대로317,02-541-3523
화정박물관,서울특별시 종로구 평창8길 3,02-2075-0114
건국대학교박물관,서울특별시 광진구 능동로 120,02-450-3881
경희대학교 자연사박물관,서울특별시 동대문구 경희대로26,02-961-0142
경희대학교 중앙박물관,서울특별시 동대문구 경희대로 26,02-961-0141
경희대학교 한의학역사박물관,서울특별시 동대문구 경희대로 26 경희대학교 한의과대학 403호,02-961-2274
고려대학교박물관,서울특별시 성북구 안암로 145,02-3290-1514
국민대학교박물관,서울특별시 정릉로 77,02-910-4212
덕성여자대학교박물관,서울특별시 도봉구 삼양로 144길 33,02-901-8132
동국대학교 박물관,서울특별시 중구 필동로1길 30,02-2260-3722
삼육대학교박물관,서울특별시 노원구 화랑로 815,02-3399-3065
상명대학교 박물관,서울특별시 종로구 평창문화로 151,02-791-7920
서울대학교치의학대학원치의학박물관,서울특별시 종로구 대학로 103 서울특별시대학교 치의학대학원,02-740-8799
서울대학교박물관,서울특별시 관악구 관악로 1,02-880-5333
서울시립대학교 박물관,서울특별시 동대문구 서울특별시립대로 163,02-6490-6586~7
서울여자대학교박물관,서울특별시 노원구 화랑로 621,02-970-5311
성균관대학교 박물관,서울특별시 종로구 성균관로 25-2,02-760-1216
성신여자대학교 박물관,서울특별시 성북구 보문로 34다길 2,02-920-7325
 성신여자대학교자연사박물관,서울특별시 강북구 도봉로 76가길 55,02-920-2057
성신여자대학교정원박광훈 복식박물관,서울특별시 강북구 도봉로 76가길 55,02-920-2657
세종대학교박물관,서울특별시 광진구 능동로 209,02-3408-3876
숙명여자대학교박물관,서울특별시 용산구 청파로 47길 100,02-710-9134
숙명여자대학교 정영양자수박물관,서울특별시 용산구 청파로 47길 100,02-710-9134
숭실대학교 한국기독교박물관,서울특별시 동작구 상도로369,02-820-0752
연세대학교박물관,서울특별시 서대문구 연세로 50,02-2123-3340
이화여대박물관,서울특별시 서대문구 이화여대길 52,02-3277-3152
이화여자대학교 자연사박물관,서울특별시 서대문구 이화여대길 52,02-3277-4700
한양대학교박물관,서울특별시 성동구 왕십리로222,02-2220-1394~6
홍익대학교  박물관,서울특별시 마포구 와우산로 94 홍익대학교 문헌관 3층,02-320-1323
동덕여자대학교박물관,서울특별시 화랑로 13길 60 동덕여자대학교,02-940-4232
겸재정선미술관,서울특별시 강서구 양천로4길 36,02-2659-2206
서울특별시특별시립미술관,서울특별시 중구 덕수궁길 61,02-2124-8800
남서울특별시미술관,서울특별시 관악구 남부순환로 2476,02-598-6245
성북구립미술관,서울특별시 성북구 성북로 134,02-6925-5011
종로구립 박노수미술관,서울특별시 종로구 옥인1길 34,02-2148-4171
서울특별시과학기술대학교 미술관,"서울특별시 노원구 공릉로 232, 다빈치관",02-970-6215
서울특별시대학교 미술관,서울특별시 관악구 관악로 1,02-880-9504
숙명여자대학교 문신미술관,서울특별시 용산구 청파로 47길 100,02-2077-7052
인덕대학교 아정미술관,서울특별시 노원구 초안산로 12 은봉관 1F,02-950-7331
한양여자대학교 미술관,서울특별시 성동구 살곶이길 200,02-2290-2543
(재)한원미술관,서울특별시 서초구 남부순환로 2423 한원빌딩 B1,02-588-5642
63아트미술관,서울특별시 영등포구 63로 50,02-780-6382
JCC아트센터,서울특별시 종로구 창경궁로35길 29,02-2183-7373~4
K현대미술관,서울특별시 강남구 선릉로 807,02-2138-0952
OCI미술관,서울특별시 종로구 우정국로 45-14,02-734-0440
김세중미술관,서울특별시 용산구 효창원로70길 35,02-717-5129
금호미술관,서울특별시 종로구 삼청로 18,02-720-5114
대림미술관,서울특별시 종로구 자하문로4길 21,02-720-0667
밀알미술관,서울특별시 강남구 일원동 713,02-3412-0061
사비나미술관,서울특별시 종로구 율곡로 49-4,02-736-4371
삼성미술관 Leeum,서울특별시 용산구 이태원로 55길 60-16,02-2014-6900
상원미술관,서울특별시 종로구 평창31길 27,02-396-3185
성곡미술관,서울특별시 종로구 경희궁길 42,02-737-7650
"세종문화회관 미술관
(세종미술관)",서울특별시 종로구 세종대로 175,02-399-1156
세화미술관,서울특별시 종로구 새문안로 68 흥국생명빌딩 3층,02-2002-7786
소마미술관,서울특별시 송파구 방이동 올림픽로 424,02-425-1077
아라리오뮤지엄 인 스페이스,서울특별시 종로구 율곡로 83(원서동),02-736-5700
아르코미술관,서울특별시 종로구 동숭길 3,02-760-4850 
아모레퍼시픽미술관,서울특별시 용산구 한강대로 100,02-6040-2345
아트선재센터,서울특별시 종로구 율곡로3길 87,02-733-8949
아트센터나비미술관,서울특별시 종로구 종로26 4층,02-2121-1031
한가람미술관,서울특별시 서초구 남부순환로 2406 예술의전당,02-580-1300
한가람디자인미술관,서울특별시 서초구 남부순환로 2406 예술의전당,02-580-1300
예술의전당 서울특별시서예박물관,서울특별시 서초구 남부순환로 2406 ,02-580-1300
유리지공예관,서울특별시 서초구 중앙로 555,02-578-6663
일민미술관,서울특별시 종로구 세종대로 152,02-2020-2050
자하미술관,서울특별시 종로구 창의문로5가길46,02-395-3222
코리아나미술관,서울특별시 강남구 언주로 827,02-547-9177
토탈미술관,서울특별시 종로구 평창32길 8,02-379-7037
포스코미술관,서울특별시 강남구 대치4동 892 포스코센터 내,02-3457-1665
학아재미술관,서울특별시 종로구 돈화문로 98,02-766-7647
한미사진미술관,"서울특별시 송파구 위례성대로 14 한미타워 19, 20층",02-418-1315
헬로우뮤지움 ,서울특별시 성동구 금호로 72,02-3217-4222
환기미술관 ,서울특별시 종로구 자하문로 40길 63,02-391-7701
성북선잠박물관,서울특별시 성북구 성북로 96,02-744-0027
암사동선사유적박물관,서울특별시 강동구 올림픽로 875 (암사동),02-3425-6520
송파책박물관,서울특별시 송파구 송파대로 37길 77,02-2147-2486~7
서소문성지역사박물관,서울특별시 중구 칠패로 5,02-3147-2401
서울우리소리박물관,서울특별시 종로구 율곡로 96,02-721-7503
서울생활사박물관,서울특별시 노원구 동일로 174길 27,02-3399-2900
서울공예박물관,서울특별시 종로구 율곡로3길 4,02-6450-7000
용산역사박물관,서울특별시 용산구 한강대로 14길 35-29,02-2199-4620
G밸리산업박물관,서울특별시 구로구 디지털로26길 38 G타워 3층,02-6734-6903
간송박물관,서울특별시 성북구 성북로 102-11,02-2153-0320
기생충박물관,서울특별시 강서구 화곡로 333,02-2601-3278
매헌윤봉길의사기념관,서울특별시 서초구 매헌로 99,02-578-3388
동덕여자대학교 박물관,서울특별시 성북구 화랑로 13길 60,02-940-4232
DDP디자인뮤지엄,서울특별시 중구 을지로 281 살림터 3층,02-2153-0085
아모레퍼시픽미술관,서울특별시 용산구 한강대로 100,02-6040-2345
롯데뮤지엄,서울특별시 송파구 올림픽로 300,
